Producto,Marca,Cantidad,Precio(ARS)
Harina pizza,Pureza,2,246.0
Bizcochuelo,Exquisita,1,190.7
Galletitas grandes,Criollitas,1,187.5
Crema chantilli,La Serenisima,1,710.5
Tapa para empañadas,Salteña,1,263.5
Galletitas x3,Lincoln,1,281.0
Tapa pasculina hojaldre,Carrefour,1,115.0
Sal Gruesa 1kg,Dos Anclas,1,94.0
Capelletti 4 quesos,Villa D Agri,1,264.0
Azucar 1kg,Carrefour,1,105.0
Fideos codo 500gr,Marolio,1,64.17
Harina 0000 1kg,Carrefour,1,97.0
Fideos moñito 0.5kg,Carrefour,1,88.0
Fideos tirabuzones,Terrabuzi,2,140.56
Bizcochitos agridulces,9 de oro,1,106.5
Fideos tallarin,Carrefour,1,121.0
Harina,Morixe,1,121.86
Leche,La Martona,2,234.2
Yogur bebible,La Serenisima,1,181.5
Yogur vainilla,Milkaut,1,178.9
Manteca,La Serenisima,1,306.1
Ketchup,Heinz,1,376.0
Te,Green Hills,1,117.5
Levadura seca,Levex,1,58.8
Pure de tomate,Carrefour,2,144.0
Girasol,Pipa,1,61.8
Oblea,Nugaton,1,61.6
Galletita de coco,Tia Maruca,1,83.95
Te buena linea,Saint Gotta,1,458.0
Arroz,Molino Ala,2,294.0
Caldo de verdura,Knorr,1,165.4
Fideos cinta ancha,Punta Mogotes,1,133.4
Te earl grey,Green Hills,1,247.5
Porotos secos,Doña Pupa,1,69.0
Aceite de girasol,Cocinero,1,159.83
Gaseosa 1.5lt,Coca Cola,1,127.41
Cerveza roja,Andes,3,637.5
Cerveza ipa,Andes,3,637.5
Ron blanco,Havanna Club,1,1595.0
Churrazco de paleta 1kg=$929.90,,1x0.838,779.26
Queso pategras Corazon Horma,Sancor,1,408.2
Queso mozarella Cilindro,Doña Aurora,1,706.0
Salamin picado fino 1kg=$1149,,1x0.174,199.93
Queso cremoso cremon 1kg=$884,La Serenisima,1,456.14
Espumadera de nylon,T Cross,1,99.0
Rollo film de pvc  28cmx30m,Carrefour,1,265.0
Papel higienico,Elegante,1,490.0
Rollo de cocina maxi,Carrefour,1,219.0
Suavizante,Carrefour,1,135.0
Fosforos,Tres Patitos,1,128.6
Paño antibacterias,Virulana F,1,63.39
Paño absorbente multi-usos,Carrefour,1,169.0
